site_name,address,city,long,lat,county
Quick Henderson Market,1053 E El camino Real,Sunnyvale,-122.00435,37.352318,Santa Clara
Liquor And Grocery,4645 Cherry Ave,San Jose,-121.88504,37.259979,Santa Clara
Alma's Liquor & Grocery,148 W Alma Ave,San Jose,-121.87646,37.314278,Santa Clara
Wing Lee Fresh Poultry & Meat,1166 Tully Rd,San Jose,-121.83611,37.315289,Santa Clara
Gonzalez Produce 1,1590 Berryessa Rd,San Jose,-121.8796,37.369144,Santa Clara
Los Altos Farmers Market,1 Second And State St,Los Altos,-122.11737,37.379169,Santa Clara
"Fancy Foods, Inc.",2523 Winchester Blvd,Campbell,-121.95003,37.277313,Santa Clara
Roadrunenr Petroleum Inc 01,1111 N Capitol Ave,San Jose,-121.86033,37.386162,Santa Clara
SAFEWAY  1293,2341 Winchester Blvd,Campbell,-121.94987,37.280491,Santa Clara
WALGREEN 4372,780 E Santa Clara St,San Jose,-121.87477,37.343636,Santa Clara
Desi Bazar Desi Kitchen (my Bangla Bazar) Store-2,712 S Wolfe Rd,Sunnyvale,-122.01376,37.366024,Santa Clara
WALGREENS 5480,1833 N Milpitas Blvd,Milpitas,-121.91139,37.456753,Santa Clara
Mapleleaf Liquor,1146 Saratoga Ave,San Jose,-121.97917,37.303963,Santa Clara
Me-Kong Supermarket,777 E Capitol Ave,Milpitas,-121.88895,37.407825,Santa Clara
Tropical Fruits,3005 Silver Creek Rd,San Jose,-121.8133,37.30986,Santa Clara
The Citi Mini Market,1354 The Alameda,San Jose,-121.91333,37.332699,Santa Clara
Quick Buy Market,2021 Homestead Rd,Santa Clara,-121.96007,37.343636,Santa Clara
Desi International Market,1290 S Bascom Ave,San Jose,-121.93167,37.301769,Santa Clara
Super Kyopo Plaza 1,3521 Homestead Rd,Santa Clara,-121.99426,37.337856,Santa Clara
SMART & FINAL 433,5281 Prospect Rd,San Jose,-121.99469,37.292206,Santa Clara
Starlite Shell 35,1780 S Main St,Milpitas,-121.90285,37.404861,Santa Clara
MCKEE LIQUOR,3750 McKee Rd,San Jose,-121.83047,37.378548,Santa Clara
7 Eleven 2236-14315g 14315G,708 Colorado Ave,Palo Alto,-122.1282,37.433147,Santa Clara
Bonfare Market 39,5251 Camden Ave,San Jose,-121.90561,37.242573,Santa Clara
Dollar Tree 5488,3065 Meridian Ave,San Jose,-121.90545,37.269737,Santa Clara
Safeway 2814,160 1st St,Los Altos,-122.11884,37.3792,Santa Clara
7 Eleven Inc 14212C,3580 Monroe St,Santa Clara,-121.99502,37.366821,Santa Clara
Garden Market,1933 Pulgas Ave,East Palo Alto,-122.12993,37.455166,Santa Clara
Morgan Hill Foods,225 W Main Ave,Morgan Hill,-121.65904,37.127865,Santa Clara
Namaste Plaza,1637 Hollenbeck Ave,Sunnyvale,-122.04256,37.339291,Santa Clara
BONFARE MARKET 11,408 W Capitol Expy,San Jose,-121.85024,37.274433,Santa Clara
7 Eleven 2367-1740C,2335 Winchester Blvd,Campbell,-121.94987,37.280704,Santa Clara
7-eleven Store 16117D,5152 Monterey Hwy,San Jose,-121.81313,37.262215,Santa Clara
Quik Stop Market 5034,2704 S Bascom Ave,San Jose,-121.93571,37.272259,Santa Clara
Walmart SuperCenter 5884,5095 Almaden Expy,San Jose,-121.87615,37.256878,Santa Clara
Apatzingan Meat Market,7237 Monterey St,Gilroy,-121.56759,37.004326,Santa Clara
AC Grocery,702 E Santa Clara St,San Jose,-121.87602,37.343037,Santa Clara
Berryessa Farmers' Market,1376 Piedmont Rd,San Jose,-121.84891,37.403904,Santa Clara
Evergreen Farmers' Market,4055 Evergreen Village Sq,San Jose,-121.77357,37.313686,Santa Clara
Discount Mini Mart 2,1587 Kooser Rd,San Jose,-121.90302,37.24052,Santa Clara
JT Liquors,2627 Senter Rd,San Jose,-121.84248,37.302399,Santa Clara
Milpitas Farmers' Market,525 Los Coches St,Milpitas,-121.89535,37.431377,Santa Clara
San Jose Downtown Farmers' Market,18 N San Pedro St,San Jose,-121.89316,37.335548,Santa Clara
Santa Teresa Farmers' Market,6232 Santa Teresa Blvd,San Jose,-121.80163,37.237053,Santa Clara
Garlic Farm Food Centre 51,5920 Travel Park Cir,Gilroy,-121.5564,36.985035,Santa Clara
7 Eleven 2367 37256A,2230 Stevens Creek Blvd,San Jose,-121.9333,37.323254,Santa Clara
Petes Stop & Mini Mart,290 Keyes St,San Jose,-121.87218,37.322586,Santa Clara
Dollar Tree 4978,199 E Middlefield Rd,Mountain View,-122.06187,37.397694,Santa Clara
4th & Santa Clara Chevron,147 E Santa Clara St,San Jose,-121.88764,37.337616,Santa Clara
Walgreens 12548,1130 Foxworthy Ave,San Jose,-121.88104,37.277706,Santa Clara
Miami Liquor & Food 1,876 The Alameda,San Jose,-121.90722,37.331692,Santa Clara
Y Market & Liquor,233 S White Rd,San Jose,-121.82527,37.362789,Santa Clara
Walgreens 2739,440 Blossom Hill Rd,San Jose,-121.83023,37.251202,Santa Clara
Mj Market,1187 Redmond Ave,San Jose,-121.87318,37.229347,Santa Clara
7 Eleven 14242D,57 S Park Victoria Dr,Milpitas,-121.88382,37.434048,Santa Clara
King's Seafood Center Inc,425 E El Camino Real,Sunnyvale,-122.02819,37.364613,Santa Clara
TAK MARKET & LIQUOR INC,698 N 3rd St,San Jose,-121.898,37.35006,Santa Clara
Walmart Supercenter 2119,301 Ranch Dr,Milpitas,-121.91994,37.432354,Santa Clara
Arteaga's Food Center,6906 Automall Pkwy,Gilroy,-121.5602,37.00037,Santa Clara
7 Eleven 35644B,601 Bird Ave,San Jose,-121.89804,37.320038,Santa Clara
Conasuper,3828 Seven Trees Blvd,San Jose,-121.83516,37.283997,Santa Clara
FOOD MAXX  461,1972 Tully Rd,San Jose,-121.82152,37.325153,Santa Clara
Sprouts Farmers Market 271,630 San Antonio Rd,Mountain View,-122.11312,37.402195,Santa Clara
Bonfare Market 9,5489 Snell Ave,San Jose,-121.83097,37.253845,Santa Clara
Almaden/via Valiente Farmer Market,6902 Almaden Expy,San Jose,-121.84908,37.212337,Santa Clara
Sprouts Farmers Market 269,5205 Prospect Rd,San Jose,-121.99393,37.292088,Santa Clara
Walgreens 13948,1905 W El Camino Real,Mountain View,-122.0963,37.392788,Santa Clara
7 Eleven 2367 15532E,3775 Williams Rd,San Jose,-121.96693,37.308495,Santa Clara
Bonfare Market   22,1175 E Julian St,San Jose,-121.87105,37.351162,Santa Clara
Mi Tierra Super Mercado,1130 E Santa Clara St,San Jose,-121.86781,37.346947,Santa Clara
Patron Liquors & Grocery Store,252 Willow St,San Jose,-121.88338,37.318218,Santa Clara
Don Mateo Foods And Spices,1062 E Santa Clara St,San Jose,-121.86943,37.346195,Santa Clara
Mercado San Jose,3054 Alum Rock Ave,San Jose,-121.82879,37.365368,Santa Clara
7 Eleven 14216f 14216F,281 Washington St,Santa Clara,-121.94049,37.343231,Santa Clara
Lafayette Food & Liquor,1670 Lafayette St,Santa Clara,-121.94676,37.356445,Santa Clara
Maxim Market 3,955 Mclaughlin Ave,San Jose,-121.85567,37.334618,Santa Clara
Cabrillo Market And Liquors,3203 Cabrillo Ave,Santa Clara,-121.98463,37.358269,Santa Clara
DOLLARTREE 8281,4095 Evrgrn Village Sq.,San Jose,-121.67546,37.265144,Santa Clara
Paul's Grocery Market,17020 Condit Rd,Morgan Hill,-121.63075,37.133415,Santa Clara
7-Eleven 36004A,1255 E Santa Clara St,San Jose,-121.86585,37.347977,Santa Clara
Sprouts Farmers Market 270,1130 Branham Ln,San Jose,-121.8792,37.262272,Santa Clara
CVS/pharmacy 422,4110 N 1st St,San Jose,-121.95301,37.414696,Santa Clara
SMART & FINAL 448,2065 El Camino Real,Santa Clara,-121.96113,37.352497,Santa Clara
Lucky 762,6109 Meridian Ave,San Jose,-121.88448,37.228176,Santa Clara
Kwik Serv,2211 Monroe St,Santa Clara,-121.96245,37.361626,Santa Clara
Whole Foods Market 10027,15980 Los Gatos Blvd,Los Gatos,-121.96278,37.236111,Santa Clara
WALGREENS 2265,1130 Bird Ave,San Jose,-121.89497,37.31057,Santa Clara
WALGREENS 02612,200 N Winchester Blvd,Santa Clara,-121.9503,37.329929,Santa Clara
Real Produce Inc,5353 Almaden Express Way,San Jose,-121.87564,37.252346,Santa Clara
New India Bazar 7,2850 Quimby Rd,San Jose,-121.79806,37.325104,Santa Clara
Arteagas Food Center (santa Clara),2103 Scott Blvd,Santa Clara,-121.95946,37.361137,Santa Clara
LIL GROCER,5807 Cottle Rd,San Jose,-121.80402,37.245846,Santa Clara
Whole Foods Market 10033,1690 S Bascom Ave,Campbell,-121.93154,37.292759,Santa Clara
Jl Produce,311 Moffett Blvd,Mountain View,-122.07621,37.397881,Santa Clara
7-Eleven 39690A,190 W Calaveras Blvd,Milpitas,-121.91016,37.427795,Santa Clara
Franco Imports,157 Old Gilroy St,Gilroy,-121.56608,37.005917,Santa Clara
7 Eleven 14262D,5745 Camden Ave,San Jose,-121.90356,37.232525,Santa Clara
Easy Mart II,1460 Oakland Rd,San Jose,-121.89436,37.373802,Santa Clara
T.T. SEAFOOD 1,2517 S King Rd,San Jose,-121.82414,37.320435,Santa Clara
99 RANCH MARKET 68,10983 N Wolfe Rd,Cupertino,-122.01438,37.336452,Santa Clara
Lucky 780,484 N Mathilda Ave,Sunnyvale,-122.03056,37.388706,Santa Clara
BILLS MARKET,204 Oakland Ave,San Jose,-121.84798,37.351971,Santa Clara
Quik Stop 9094,1510 Mt Pleasant Dr,San Jose,-121.80056,37.355255,Santa Clara
Target 3265,1775 E Bayshore Rd,East Palo Alto,-122.1373,37.458858,Santa Clara
SAFEWAY  1476,1300 W San Carlos St,San Jose,-121.91166,37.323483,Santa Clara
SAFEWAY  1505,905 1st St,Gilroy,-121.5891,37.013607,Santa Clara
Madina Halal Market,2268 Senter Rd,San Jose,-121.85008,37.310417,Santa Clara
Lucky 774,234 Saratoga Ave,Santa Clara,-121.96555,37.328583,Santa Clara
"Rica Panaderia, Inc. 3",1663 Tully Rd,San Jose,-121.82717,37.321632,Santa Clara
Chavez Supermarket,2327 McKee Rd,San Jose,-121.84921,37.366058,Santa Clara
Mabury Market,788 N King Rd,San Jose,-121.86907,37.366562,Santa Clara
EARLS BOTTLE SHOP,299 S Capitol Ave,San Jose,-121.8325,37.358555,Santa Clara
Halal Market,583 Saratoga Ave,Santa Clara,-121.95475,37.341194,Santa Clara
Lucky 763,844 Blossom Hill Rd,San Jose,-121.8568,37.250225,Santa Clara
Maiwand Market Of Santa Clara,2915 El Camino Real,Santa Clara,-121.97947,37.352478,Santa Clara
WALGREENS 2740,3460 El Camino Real,Santa Clara,-121.99217,37.352253,Santa Clara
SAFEWAY  1465,5146 Stevens Creek Blvd,San Jose,-121.99319,37.323013,Santa Clara
Marina Brothers Inc./Marina Grocery,4148 Monterey Hwy,San Jose,-121.83511,37.278095,Santa Clara
WALGREENS 02957,1660 Winchester Blvd,Campbell,-121.94987,37.293072,Santa Clara
Diridon Market,98 Sunol St,San Jose,-121.90619,37.329082,Santa Clara
99 RANCH MARKET 61,1688 Hostetter Rd,San Jose,-121.88394,37.387691,Santa Clara
"NMSO, Inc. 68202",1598 Alum Rock Ave,San Jose,-121.85917,37.351036,Santa Clara
"NMSO, Inc. 68204",2790 Story Rd,San Jose,-121.82458,37.352386,Santa Clara
Rotten Robbie 42,455 E Julian St,San Jose,-121.88464,37.344948,Santa Clara
La Morenita Produce,575 1st St,Gilroy,-121.57967,37.013435,Santa Clara
DOLLARTREE 7810,6741 Camino Arroyo,Gilroy,-121.55002,37.001019,Santa Clara
7 Eleven 23585d 23585D,706 Benton St,Santa Clara,-121.941,37.351692,Santa Clara
Grewal Food & Liquor,517 Mclaughlin Ave,San Jose,-121.86118,37.340286,Santa Clara
King Tully Shell 161,1698 Tully Rd,San Jose,-121.82613,37.322044,Santa Clara
Santana Row Farmers Market,378 Between Olin Ave & Olsen Dr.,San Jose,-121.94872,37.320435,Santa Clara
Walmart Neighborhood Market 3023,4055 Evergreen Village Square,San Jose,-121.77354,37.313759,Santa Clara
7 Eleven 25950A,1002 W Evelyn Ave,Sunnyvale,-122.04517,37.383175,Santa Clara
Target Store T-1927,879 Blossom Hill Rd,San Jose,-121.8614,37.25053,Santa Clara
ECONO LIQUOR & FOODS,3112 McKee Rd,San Jose,-121.83538,37.375217,Santa Clara
SMART & FINAL 327,1265 S Mary Ave,Sunnyvale,-122.05061,37.352428,Santa Clara
LOS CUATES MARKET,1511 S Winchester Blvd,San Jose,-121.94997,37.296577,Santa Clara
Target Store T-2238,3155 Silver Creek Rd,San Jose,-121.81133,37.307522,Santa Clara
ROSE INTERNATIONAL MARKET,1060 Castro St,Mountain View,-122.08472,37.384464,Santa Clara
Russian Cafe & Deli,1712 Winchester Blvd,Campbell,-121.94985,37.292248,Santa Clara
Smart & Final 589,270 E 10th St,Gilroy,-121.56252,37.00119,Santa Clara
DOLLAR TREE 1254,331 N Capitol Ave,San Jose,-121.84389,37.370739,Santa Clara
Habesha Mini Mart,394 Bird Ave,San Jose,-121.89924,37.323505,Santa Clara
RITE AID 5984,6091 Meridian Ave,San Jose,-121.88434,37.229099,Santa Clara
RITE AID 5985,1029 E Capitol Expy,San Jose,-121.82276,37.299416,Santa Clara
RITE AID 5987,3171 Meridian Ave,San Jose,-121.90483,37.268108,Santa Clara
Mi Rancho Supermarket,3840 Monterey Hwy,San Jose,-121.839,37.281898,Santa Clara
Meridian Shell 160,1610 Meridian Ave,San Jose,-121.91352,37.29409,Santa Clara
RITE AID 5972,15920 Los Gatos Blvd,Los Gatos,-121.96232,37.237125,Santa Clara
RITE AID 5976,2620 El Camino Real,Santa Clara,-121.97408,37.352261,Santa Clara
RITE AID 5983,6215 Santa Teresa Blvd,San Jose,-121.80271,37.236954,Santa Clara
7 ELEVEN 21735D,998 Lundy Ave,San Jose,-121.87273,37.373653,Santa Clara
7 ELEVEN 14243C,3777 Lafayette St,Santa Clara,-121.95361,37.387531,Santa Clara
Seafood City Supermarket,3065 McKee Rd,San Jose,-121.83668,37.374424,Santa Clara
99 Cents Only Store 224,260 E 10th St,Gilroy,-121.56282,37.001133,Santa Clara
Ernies Liquor,2808 S White Rd,San Jose,-121.79668,37.324039,Santa Clara
Target Store T-2088,533 Coleman Ave,San Jose,-121.90545,37.340714,Santa Clara
MI RANCHO CARNICERIA,1383 Kooser Rd,San Jose,-121.88889,37.246197,Santa Clara
Nob Hill 634,1250 Grant Rd,Mountain View,-122.0752,37.37775,Santa Clara
Target Store T-0324,1811 Hillsdale Ave,San Jose,-121.91773,37.263229,Santa Clara
RITE AID 5975,16000 Monterey St,Morgan Hill,-121.6429,37.113049,Santa Clara
7-Eleven 23879B,1496 N Milpitas Blvd,Milpitas,-121.9103,37.452343,Santa Clara
EL RICO PAN BAKERY,231 Willow St,San Jose,-121.88287,37.318619,Santa Clara
The Market At Edgewood,2170 W Bayshore Rd,East Palo Alto,-122.14575,37.462952,Santa Clara
El Sol Market,705 N 13th St,San Jose,-121.88821,37.355553,Santa Clara
RITE AID 5886,2310 Homestead Rd,Los Altos,-122.06747,37.337677,Santa Clara
RITE AID 5967,20580 Homestead Rd,Cupertino,-122.03344,37.337524,Santa Clara
RITE AID 5988,1550 Hamilton Ave,San Jose,-121.91189,37.294403,Santa Clara
RITE AID 5991,3055 McKee Rd,San Jose,-121.83698,37.374214,Santa Clara
RITE AID 5992,1030 S White Rd,San Jose,-121.82056,37.3578,Santa Clara
RITE AID 5993,1333 S Winchester Blvd,San Jose,-121.94999,37.300133,Santa Clara
Felipe's Market,1101 W El Camino Real,Sunnyvale,-122.0526,37.372906,Santa Clara
CHAVEZ SUPERMARKET,666 N Fair Oaks Ave,Sunnyvale,-122.01455,37.39024,Santa Clara
Fairground Shell 42,2180 Monterey Hwy,San Jose,-121.8614,37.304001,Santa Clara
Queen Fresh Fruits,1111 Story Rd,San Jose,-121.85452,37.33234,Santa Clara
Market Day At Shires Memorial Center,180 N 4th St,San Jose,-121.88933,37.340237,Santa Clara
"Nmso, Inc. 68203",1365 Kooser Rd,San Jose,-121.88805,37.245979,Santa Clara
Meridian Chevron 96336,900 Meridian Ave,San Jose,-121.91353,37.310562,Santa Clara
L&F FISH MARKET,1448 E Santa Clara St,San Jose,-121.86256,37.349445,Santa Clara
7-Eleven 14269A,350 N White Rd,San Jose,-121.83602,37.375736,Santa Clara
WALGREENS 02081,1760 Story Rd,San Jose,-121.84165,37.340786,Santa Clara
GREWAL FOOD & LIQUOR,1711 McLaughlin Ave,San Jose,-121.84651,37.325378,Santa Clara
Dollar Tree 2785,16975 Monterey St,Morgan Hill,-121.64987,37.124863,Santa Clara
SANTA FE FOODS,860 S White Rd,San Jose,-121.82172,37.359047,Santa Clara
HILLSDALE MARKET & LIQUORS,3100 Monterey Hwy,San Jose,-121.84493,37.287483,Santa Clara
Almaden Market,5965 Almaden Expy,San Jose,-121.87277,37.235096,Santa Clara
7 ELEVEN 16189 D,1201 Wildwood Ave,Sunnyvale,-121.99464,37.392044,Santa Clara
7-Eleven 14324G,1905 Latham St,Mountain View,-122.09608,37.39447,Santa Clara
La Sonorense Bakery,163 Willow St,San Jose,-121.88159,37.319317,Santa Clara
Gavilan Market,8110 Westwood Dr,Gilroy,-121.5937,37.014469,Santa Clara
Southgate Liquors,445F Blossom Hill Rd,San Jose,-121.82999,37.251446,Santa Clara
Trader Joe's 202,17035 Laurel Rd,Morgan Hill,-121.63822,37.130856,Santa Clara
Snehas Gifts And Wine,1175 E Homestead Rd,Sunnyvale,-121.99703,37.337887,Santa Clara
Whole Foods Market 10267,20955 Stevens Creek Blvd,Cupertino,-122.03974,37.322987,Santa Clara
Whole Foods Market 10155,4800 El Camino Real,Los Altos,-122.10997,37.399204,Santa Clara
Delgadillos Produce & Nuts,1590 Berryessa Rd,San Jose,-121.87971,37.369175,Santa Clara
Target Store T-0323,20745 Stevens Creek Blvd,Cupertino,-122.03567,37.322998,Santa Clara
LAS PALMAS MERCADO Y CARNICERIA,1080 Saratoga Ave,San Jose,-121.97826,37.305824,Santa Clara
DOLLAR TREE 3203,150 N San Tomas Aquino Rd,Campbell,-121.97653,37.288227,Santa Clara
Sidhu Market,801 Locust St,San Jose,-121.88663,37.321091,Santa Clara
CVS Pharmacy 9498,1800 Saratoga Ave,San Jose,-121.99411,37.289722,Santa Clara
7 ELEVEN 16889G,1591 Flickinger Ave,San Jose,-121.87894,37.390717,Santa Clara
Target Store T-2252,1061 Cochrane Rd,Morgan Hill,-121.64971,37.154881,Santa Clara
San Antonio Market 8,202 S 22nd St,San Jose,-121.86643,37.34288,Santa Clara
Walmart Neighborhood Market 4174,1450 Monterey Hwy,San Jose,-121.87145,37.316223,Santa Clara
7 Eleven 14256C,1173 Mclaughlin Ave,San Jose,-121.85292,37.331863,Santa Clara
6 To Late Monterey,2784 Monterey Road,San Jose,-121.85027,37.292671,Santa Clara
Maldonado Produce Lot  218,1590 Berryessa Road,San Jose,-121.87958,37.36916,Santa Clara
PAL MARKET,2398 University Ave,East Palo Alto,-122.13942,37.471428,Santa Clara
7 Eleven 2366 24271C,2800 Benton St,Santa Clara,-121.97812,37.346539,Santa Clara
QUIK & SAVE,5245 Roeder Rd,San Jose,-121.81001,37.261333,Santa Clara
TROPICANA FOODS,1630 Story Rd,San Jose,-121.84481,37.338646,Santa Clara
Stop and Buy,1601 Tully Rd,San Jose,-121.82879,37.320522,Santa Clara
Manila Oriental Market,2812 S White Rd,San Jose,-121.79662,37.32386,Santa Clara
ABES LIQUOR & MARKET,1939 Alum Rock Ave,San Jose,-121.85093,37.355057,Santa Clara
Safeway 1879,551 N Calaveras Blvd,Milpitas,-121.89593,37.433167,Santa Clara
Shop N Go,29 S Jackson Ave,San Jose,-121.84301,37.357948,Santa Clara
