,site_name,address,city,long,lat,county,hours
519,Dollar Tree 4293,251 Ranch Dr,Milpitas,-121.91931000000001,37.430408,Santa Clara,"Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM"
520,Costco Wholesale 0129,1601 Coleman Ave,Santa Clara,-121.93728999999999,37.357665999999995,Santa Clara,"Monday: 10:00 AM – 8:30 PM
Tuesday: 10:00 AM – 8:30 PM
Wednesday: 10:00 AM – 8:30 PM
Thursday: 10:00 AM – 8:30 PM
Friday: 10:00 AM – 8:30 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 7:00 PM"
521,Costco Wholesale 0143,1000 N Rengstorff Ave,Mountain View,-122.09348,37.419662,Santa Clara,"Monday: 10:00 AM – 6:30 PM
Tuesday: 10:00 AM – 6:30 PM
Wednesday: 10:00 AM – 6:30 PM
Thursday: 10:00 AM – 6:30 PM
Friday: 10:00 AM – 6:30 PM
Saturday: 9:30 AM – 6:00 PM
Sunday: Closed"
522,Costco Wholesale 0148,2201 Senter Rd,San Jose,-121.85063999999998,37.310608,Santa Clara,"Monday: 10:00 AM – 8:30 PM
Tuesday: 10:00 AM – 8:30 PM
Wednesday: 10:00 AM – 8:30 PM
Thursday: 10:00 AM – 8:30 PM
Friday: 10:00 AM – 8:30 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 7:00 PM"
523,Costco Wholesale 0423,150 Lawrence Station Rd,Sunnyvale,-121.99603,37.372513,Santa Clara,"Monday: 10:00 AM – 8:30 PM
Tuesday: 10:00 AM – 8:30 PM
Wednesday: 10:00 AM – 8:30 PM
Thursday: 10:00 AM – 8:30 PM
Friday: 10:00 AM – 8:30 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 7:00 PM"
524,Costco Wholesale 0470,5301 Almaden Expy,San Jose,-121.87588999999998,37.254242,Santa Clara,"Monday: 10:00 AM – 8:30 PM
Tuesday: 10:00 AM – 8:30 PM
Wednesday: 10:00 AM – 8:30 PM
Thursday: 10:00 AM – 8:30 PM
Friday: 10:00 AM – 8:30 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 7:00 PM"
525,Super Liquor & Food,3255 Sierra Rd,San Jose,-121.84821000000001,37.399277000000005,Santa Clara,No hours listed
526,7-Eleven 26763 C,834 E Fremont Ave,Sunnyvale,-122.01653,37.352051,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
527,7-Eleven 14278 F,14700 Camden Ave,San Jose,-121.92857,37.261707,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
528,7-Eleven 16269A,4625 Albany Dr,San Jose,-121.9854,37.321342,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
