# ----------------------------------------
# All Web Site Data
# Browser & OS
# 20200601-20200814
# ----------------------------------------

Operating System,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Windows,20200717,3,3,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200725,3,3,3,66.67%,1.00,00:00:05,0.00%,0,$0.00
Windows,20200804,3,1,3,66.67%,1.00,00:00:03,0.00%,0,$0.00
Windows,20200807,3,3,3,33.33%,1.00,00:00:20,0.00%,0,$0.00
Android,20200606,2,0,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200617,2,2,5,80.00%,1.20,00:01:27,0.00%,0,$0.00
Android,20200628,2,0,3,66.67%,1.67,00:11:21,0.00%,0,$0.00
Android,20200703,2,1,2,0.00%,1.50,00:00:37,0.00%,0,$0.00
Android,20200704,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200706,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200708,2,1,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200717,2,2,3,0.00%,1.00,00:01:20,0.00%,0,$0.00
Android,20200718,2,2,2,50.00%,1.00,00:00:23,0.00%,0,$0.00
Android,20200721,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200724,2,0,3,33.33%,1.00,00:00:27,0.00%,0,$0.00
Android,20200731,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200812,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200610,2,1,2,0.00%,0.50,00:00:23,0.00%,0,$0.00
Chrome OS,20200722,2,2,3,33.33%,1.00,00:02:43,0.00%,0,$0.00
iOS,20200615,2,1,2,0.00%,1.00,00:00:12,0.00%,0,$0.00
iOS,20200622,2,0,5,40.00%,1.00,00:00:14,0.00%,0,$0.00
iOS,20200624,2,0,12,50.00%,1.33,00:03:29,0.00%,0,$0.00
iOS,20200704,2,1,3,33.33%,3.00,00:06:09,0.00%,0,$0.00
